"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 31 06:42:40 BRST 2021","Fri Dec 31 06:42:40 BRST 2021","15","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1hv8t3cnkx4q9","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1hv8t3cnkx4q9","test_vbhwz54j0wft_deletecharge","test_vbhwz54j0wft_deletecharge",""
"passed","Fri Dec 31 06:39:29 BRST 2021","Fri Dec 31 06:39:29 BRST 2021","20","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","test_skxtqwbibpep_readcharge","test_skxtqwbibpep_readcharge",""
"passed","Fri Dec 31 06:38:49 BRST 2021","Fri Dec 31 06:38:49 BRST 2021","25","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","test_qhntbtjxrp7o_updatecharge","test_qhntbtjxrp7o_updatecharge",""
"failed","Fri Dec 31 06:39:09 BRST 2021","Fri Dec 31 06:39:09 BRST 2021","26","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","test_rl2dgnzfdxet_createcharge","test_rl2dgnzfdxet_createcharge",""
"failed","Fri Dec 31 06:39:24 BRST 2021","Fri Dec 31 06:39:24 BRST 2021","22","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1h7zt3w2ziqt2","test_s4mamtcz1xys_createcharge","test_s4mamtcz1xys_createcharge",""
"passed","Fri Dec 31 06:46:17 BRST 2021","Fri Dec 31 06:46:17 BRST 2021","14","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_sohehuuoqm2e","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_sohehuuoqm2e","test_1jyovdcx8z60o_readcharge","test_1jyovdcx8z60o_readcharge",""
"failed","Fri Dec 31 06:53:17 BRST 2021","Fri Dec 31 06:53:17 BRST 2021","13","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1iunnr403fwpv","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1iunnr403fwpv","test_1ib35x3xgua7n_updatecharge","test_1ib35x3xgua7n_updatecharge",""
"failed","Fri Dec 31 06:46:58 BRST 2021","Fri Dec 31 06:46:58 BRST 2021","14","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_sohehuuoqm2e","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_sohehuuoqm2e","test_somwezadfcyu_updatecharge","test_somwezadfcyu_updatecharge",""
"passed","Fri Dec 31 06:45:05 BRST 2021","Fri Dec 31 06:45:05 BRST 2021","16","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1jygjnop4hge1","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1jygjnop4hge1","test_s1b6nw6g3kfm_updatecharge","test_s1b6nw6g3kfm_updatecharge",""
"passed","Fri Dec 31 06:47:50 BRST 2021","Fri Dec 31 06:47:50 BRST 2021","16","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1jenqtktv154j","","PaymentInvalidPayload.OasDbPaymentInvalidPayload_1jenqtktv154j","test_1jym37fz2fh9v_deletecharge","test_1jym37fz2fh9v_deletecharge",""
