"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 31 07:03:52 BRST 2021","Fri Dec 31 07:03:52 BRST 2021","17","","PaymentInvalidExample.OasDbPaymentInvalidExample_vbemkcgc6ste","","PaymentInvalidExample.OasDbPaymentInvalidExample_vbemkcgc6ste","test_1iuy7d1u149bl_createcharge","test_1iuy7d1u149bl_createcharge",""
"passed","Fri Dec 31 07:03:04 BRST 2021","Fri Dec 31 07:03:04 BRST 2021","15","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","test_skpluygu7oz5_readcharge","test_skpluygu7oz5_readcharge",""
"passed","Fri Dec 31 07:16:10 BRST 2021","Fri Dec 31 07:16:10 BRST 2021","12","","PaymentInvalidExample.OasDbPaymentInvalidExample_vf6f2by3zl88","","PaymentInvalidExample.OasDbPaymentInvalidExample_vf6f2by3zl88","test_s4rvfb1efwhi_readcharge","test_s4rvfb1efwhi_readcharge",""
"passed","Fri Dec 31 07:13:24 BRST 2021","Fri Dec 31 07:13:24 BRST 2021","17","","PaymentInvalidExample.OasDbPaymentInvalidExample_urhcdjwrvk9y","","PaymentInvalidExample.OasDbPaymentInvalidExample_urhcdjwrvk9y","test_us30bh66qcme_deletecharge","test_us30bh66qcme_deletecharge",""
"passed","Fri Dec 31 07:09:10 BRST 2021","Fri Dec 31 07:09:10 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_s13cw02qubmp","","PaymentInvalidExample.OasDbPaymentInvalidExample_s13cw02qubmp","test_u8e0a581nmt0_deletecharge","test_u8e0a581nmt0_deletecharge",""
"failed","Fri Dec 31 06:59:39 BRST 2021","Fri Dec 31 06:59:39 BRST 2021","23","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","test_1if11wk945fld_updatecharge","test_1if11wk945fld_updatecharge",""
"passed","Fri Dec 31 07:03:09 BRST 2021","Fri Dec 31 07:03:09 BRST 2021","16","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","test_t49klkhb4bqd_readcharge","test_t49klkhb4bqd_readcharge",""
"failed","Fri Dec 31 07:02:39 BRST 2021","Fri Dec 31 07:02:39 BRST 2021","17","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","test_1jy7pk8t1er76_createcharge","test_1jy7pk8t1er76_createcharge",""
"passed","Fri Dec 31 07:16:00 BRST 2021","Fri Dec 31 07:16:00 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_vf6f2by3zl88","","PaymentInvalidExample.OasDbPaymentInvalidExample_vf6f2by3zl88","test_s18eyulitttf_readcharge","test_s18eyulitttf_readcharge",""
"passed","Fri Dec 31 07:03:19 BRST 2021","Fri Dec 31 07:03:19 BRST 2021","16","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","test_toanilg2fk1e_updatecharge","test_toanilg2fk1e_updatecharge",""
"failed","Fri Dec 31 07:19:28 BRST 2021","Fri Dec 31 07:19:28 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_s1b56mcqefxs","","PaymentInvalidExample.OasDbPaymentInvalidExample_s1b56mcqefxs","test_u8b6ygsrff3l_createcharge","test_u8b6ygsrff3l_createcharge",""
"failed","Fri Dec 31 06:59:34 BRST 2021","Fri Dec 31 06:59:34 BRST 2021","28","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","test_1iemoq2u6dq2a_updatecharge","test_1iemoq2u6dq2a_updatecharge",""
"passed","Fri Dec 31 07:14:42 BRST 2021","Fri Dec 31 07:14:42 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukx5hfzh8ip","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukx5hfzh8ip","test_s4p1bggubozb_readcharge","test_s4p1bggubozb_readcharge",""
"failed","Fri Dec 31 07:17:23 BRST 2021","Fri Dec 31 07:17:23 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_t4yfiohf0302","","PaymentInvalidExample.OasDbPaymentInvalidExample_t4yfiohf0302","test_1k1ziyzw6u3j7_updatecharge","test_1k1ziyzw6u3j7_updatecharge",""
"passed","Fri Dec 31 07:06:37 BRST 2021","Fri Dec 31 07:06:37 BRST 2021","16","","PaymentInvalidExample.OasDbPaymentInvalidExample_qxnrc40dfexy","","PaymentInvalidExample.OasDbPaymentInvalidExample_qxnrc40dfexy","test_1hrlzqpgr19o9_deletecharge","test_1hrlzqpgr19o9_deletecharge",""
"passed","Fri Dec 31 07:01:52 BRST 2021","Fri Dec 31 07:01:52 BRST 2021","18","","PaymentInvalidExample.OasDbPaymentInvalidExample_qdsrdj6u4ab6","","PaymentInvalidExample.OasDbPaymentInvalidExample_qdsrdj6u4ab6","test_t4f3d7x417ow_readcharge","test_t4f3d7x417ow_readcharge",""
