"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 31 08:28:38 BRST 2021","Fri Dec 31 08:28:38 BRST 2021","14","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iupy2cxaqalt","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iupy2cxaqalt","test_1h7qxz78ugwu1_readproject","test_1h7qxz78ugwu1_readproject",""
"passed","Fri Dec 31 08:23:12 BRST 2021","Fri Dec 31 08:23:12 BRST 2021","23","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_sl3xk22a4xfa","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_sl3xk22a4xfa","test_qhqlvxie8j02_createproject","test_qhqlvxie8j02_createproject",""
"passed","Fri Dec 31 08:36:17 BRST 2021","Fri Dec 31 08:36:17 BRST 2021","13","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_todew9vikbp0","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_todew9vikbp0","test_qxl09pb5wkl3_readproject","test_qxl09pb5wkl3_readproject",""
"passed","Fri Dec 31 08:35:09 BRST 2021","Fri Dec 31 08:35:09 BRST 2021","14","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_rhity7kqpfld","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_rhity7kqpfld","test_sksbafeaolkj_deleteproject","test_sksbafeaolkj_deleteproject",""
"passed","Fri Dec 31 08:39:53 BRST 2021","Fri Dec 31 08:39:53 BRST 2021","15","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iyc67w5xyo8i","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iyc67w5xyo8i","test_skn9ogx93mg1_deleteproject","test_skn9ogx93mg1_deleteproject",""
"failed","Fri Dec 31 08:37:40 BRST 2021","Fri Dec 31 08:37:40 BRST 2021","12","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_t49iprgpbnzt","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_t49iprgpbnzt","test_1jekzfik58y1t_createproject","test_1jekzfik58y1t_createproject",""
"passed","Fri Dec 31 08:23:52 BRST 2021","Fri Dec 31 08:23:52 BRST 2021","18","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_sl3xk22a4xfa","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_sl3xk22a4xfa","test_u7p2bcqc233q_deleteproject","test_u7p2bcqc233q_deleteproject",""
"failed","Fri Dec 31 08:29:08 BRST 2021","Fri Dec 31 08:29:08 BRST 2021","14","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iupy2cxaqalt","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_1iupy2cxaqalt","test_1jew1tqa3zfxe_createproject","test_1jew1tqa3zfxe_createproject",""
"failed","Fri Dec 31 08:36:12 BRST 2021","Fri Dec 31 08:36:12 BRST 2021","14","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_todew9vikbp0","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_todew9vikbp0","test_qxfhytnbplit_createproject","test_qxfhytnbplit_createproject",""
"failed","Fri Dec 31 08:33:26 BRST 2021","Fri Dec 31 08:33:26 BRST 2021","14","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_t4z065b3q71t","","ProjectManagementBrokenRecordDeletion.OasDbProjectManagementBrokenRecordDeletion_t4z065b3q71t","test_1iyns18hvfk8i_updateproject","test_1iyns18hvfk8i_updateproject",""
